True
8,98316
9,01863
9,21345
9,47121
9,46875
9,30259
9,10428
9,04944
9,05446
9,08266
9,14443
9,45097
9,97197
10,4478
10,66023
10,79458
11,38086
12,04425
11,6395
10,95204
11,49101
11,92874
11,54422
11,26083
11,4317
11,44892
11,71465
13,03664
14,28045
14,40203
13,89668
13,41676
13,30811
13,63807
15,05598
16,78425
18,26707
18,86337
18,4425
18,05416
18,00988
19,2708
21,97185
25,87879
29,12834
30,43964
32,28292
31,94714
30,9978
30,51039
30,13119
28,93692
26,34328
23,50568
22,50903
22,40071
22,1013
21,78535
21,51468
20,96464
20,72146
21,01623
21,33547
21,05129
20,79426
20,9931
21,16188
21,37502
22,64216
25,127
27,65217
29,16013
39,97053
52,32044
54,22617
53,91459
52,21835
49,82015
47,04535
43,71075
41,99091
45,75959
52,48375
55,23146
55,19627
54,03668
52,83843
51,68039
50,79021
49,30317
46,49637
42,59327
38,58142
36,43963
34,69524
32,84264
32,07199
33,13915
36,10691
39,38125
40,29683
38,83912
36,491
34,98161
35,90744
38,99921
42,26504
41,92194
41,79139
41,45692
42,25961
46,15708
52,50357
57,39499
59,68707
58,63003
57,16735
56,02188
55,19277
55,25496
56,3907
75,5351
100,71419
109,28929
105,52986
99,8345
94,50734
89,60206
85,40024
82,06293
78,95366
75,86331
72,10995
68,32472
66,54392
66,93481
69,57792
71,32
69,8682
68,09301
65,54134
62,54603
61,47509
61,0853
62,38185
63,0864
63,52435
63,62213
61,94948
58,14735
54,83992
52,61955
51,35081
50,49121
50,42917
50,33288
50,04022
49,2928
48,11082
46,66476
44,84957
44,66697
45,73647
47,05729
48,93455
49,03007
48,24716
48,34844
49,3737
50,55176
50,53531
48,7173
46,6324
46,57191
48,02845
49,62799
49,9015
49,37683
48,02097
46,79429
46,4546
45,60759
43,80196
42,32728
41,7397
41,74786
42,05585
42,28893
43,15238
43,88604
43,92784
43,32421
42,83655
42,81684
44,09091
46,22504
47,6517
46,88644
46,81842
48,64014
50,44711
49,79476
46,93463
44,3379
43,36994
43,44786
43,74777
43,85921
44,14756
44,24869
43,5244
42,61254
43,17143
45,04972
48,8777
53,51392
61,66973
68,23688
67,87831
67,15792
66,17769
64,59078
62,10805
57,63433
52,0927
48,69171
47,39246
46,71512
46,25996
46,00018
45,71978
45,51893
45,48587
45,32955
45,04683
44,69441
44,34476
43,97437
43,60139
43,28003
43,08667
43,05194
43,77167
44,51442
45,32827
45,83451
46,30915
46,7954
47,12148
48,50645
50,83523
52,59332
51,67113
48,70949
46,06835
44,63201
43,84203
43,54038
43,7525
44,55241
45,43817
46,01413
45,40446
44,39317
43,54978
43,216
44,03587
45,50469
46,49975
46,52413
45,89041
45,56627
45,66921
45,90878
45,85942
45,46897
44,76177
44,07407
44,13172
44,33705
44,04024
43,6249
43,35011
43,10815
42,9632
42,73793
42,54243
42,24751
41,8689
41,3504
40,95486
40,70258
40,77729
41,00372
40,80713
40,29304
39,97778
39,67986
39,25274
38,54654
37,65186
37,50369
38,18537
38,73798
38,82088
38,77297
38,67979
38,76249
38,84986
38,59442
38,37261
38,12354
38,6965
40,60089
44,06276
45,61683
46,06766
45,79816
44,67799
41,79859
38,67058
37,31628
36,77811
